resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20200930610000J66,2020/09,合并,季报,all,610000,J66
20190930120000G55,2019/09,合并,季报,all,120000,G55
20200331460000R90,2020/03,合并,季报,all,460000,R90
20200331460000S90,2020/03,合并,季报,all,460000,S90
20190331330000D46,2019/03,合并,季报,all,330000,D46
20190630640000C26,2019/06,合并,半年报,all,640000,C26
20191231110000G58,2019/12,合并,年报,all,110000,G58
20190331430000J66,2019/03,合并,季报,all,430000,J66
20191231610000N78,2019/12,合并,年报,all,610000,N78
20190331330000C37,2019/03,合并,季报,all,330000,C37
20200930110000D46,2020/09,合并,季报,all,110000,D46
20190331510000D46,2019/03,合并,季报,all,510000,D46
20190331340000C13,2019/03,合并,季报,all,340000,C13
20191231510000C15,2019/12,合并,年报,all,510000,C15
20190331230000C41,2019/03,合并,季报,all,230000,C41
20190331440000C42,2019/03,合并,季报,all,440000,C42
20190630330000C39,2019/06,合并,半年报,all,330000,C39
20200930540000B08,2020/09,合并,季报,all,540000,B08
20200331320000A03,2020/03,合并,季报,all,320000,A03
20200630450000N78,2020/06,合并,半年报,all,450000,N78
20190630510000E48,2019/06,合并,半年报,all,510000,E48
20200630610000C27,2020/06,合并,半年报,all,610000,C27
20190630120000C14,2019/06,合并,半年报,all,120000,C14
20191231370000C20,2019/12,合并,年报,all,370000,C20
20190331220000N77,2019/03,合并,季报,all,220000,N77
20200930120000C26,2020/09,合并,季报,all,120000,C26
20190930110000D44,2019/09,合并,季报,all,110000,D44
20200331330000C35,2020/03,合并,季报,all,330000,C35
20200331410000C32,2020/03,合并,季报,all,410000,C32
20200331310000I63,2020/03,合并,季报,all,310000,I63
20191231450000C27,2019/12,合并,年报,all,450000,C27
20191231150000C27,2019/12,合并,年报,all,150000,C27
20190930630000B09,2019/09,合并,季报,all,630000,B09
20190930360000C311,2019/09,合并,季报,all,360000,C31
20190930360000C31,2019/09,合并,季报,all,360000,C31
20190930510000C32,2019/09,合并,季报,all,510000,C32
20190331620000A01,2019/03,合并,季报,all,620000,A01
20200331310000C29,2020/03,合并,季报,all,310000,C29
20200630210000F51,2020/06,合并,半年报,all,210000,F51
20191231320000C18,2019/12,合并,年报,all,320000,C18
20190630370000C37,2019/06,合并,半年报,all,370000,C37
20190630500000C34,2019/06,合并,半年报,all,500000,C34
20190930340000J67,2019/09,合并,季报,all,340000,J67
20200930320000N77,2020/09,合并,季报,all,320000,N77
20200630310000C27,2020/06,合并,半年报,all,310000,C27
20190630420000C14,2019/06,合并,半年报,all,420000,C14
20190630320000D45,2019/06,合并,半年报,all,320000,D45
20200331420000C18,2020/03,合并,季报,all,420000,C18
20200331320000E49,2020/03,合并,季报,all,320000,E49
20200630330000R86,2020/06,合并,半年报,all,330000,R86
20190930350000F51,2019/09,合并,季报,all,350000,F51
20200930330000C41,2020/09,合并,季报,all,330000,C41
20190630310000C25,2019/06,合并,半年报,all,310000,C25
20191231230000G58,2019/12,合并,年报,all,230000,G58
20191231530000B09,2019/12,合并,年报,all,530000,B09
20200930410000D46,2020/09,合并,季报,all,410000,D46
20200930230000C37,2020/09,合并,季报,all,230000,C37
20200930440000C34,2020/09,合并,季报,all,440000,C34
20191231410000C29,2019/12,合并,年报,all,410000,C29
20191231110000I63,2019/12,合并,年报,all,110000,I63
20200630370000C35,2020/06,合并,半年报,all,370000,C35
20200630500000E47,2020/06,合并,半年报,all,500000,E47
20190630440000N77,2019/06,合并,半年报,all,440000,N77
20190630530000C25,2019/06,合并,半年报,all,530000,C25
20200930440000D45,2020/09,合并,季报,all,440000,D45
20200930340000C14,2020/09,合并,季报,all,340000,C14
20191231120000Q85,2019/12,合并,年报,all,120000,Q85
20191231120000R85,2019/12,合并,年报,all,120000,R85
20200630320000C36,2020/06,合并,半年报,all,320000,C36
20200630420000J67,2020/06,合并,半年报,all,420000,J67
20190630310000G54,2019/06,合并,半年报,all,310000,G54
20191231230000C29,2019/12,合并,年报,all,230000,C29
20190630630000E48,2019/06,合并,半年报,all,630000,E48
20190630130000C19,2019/06,合并,半年报,all,130000,C19
20200630360000Q85,2020/06,合并,半年报,all,360000,Q85
20200630360000R85,2020/06,合并,半年报,all,360000,R85
20200930330000C30,2020/09,合并,季报,all,330000,C30
20200930430000H61,2020/09,合并,季报,all,430000,H61
20200930360000C42,2020/09,合并,季报,all,360000,C42
20191231630000C15,2019/12,合并,年报,all,630000,C15
20190630510000M73,2019/06,合并,半年报,all,510000,M73
20200331120000C23,2020/03,合并,季报,all,120000,C23
20200630220000C40,2020/06,合并,半年报,all,220000,C40
20200630150000B09,2020/06,合并,半年报,all,150000,B09
20190331650000G54,2019/03,合并,季报,all,650000,G54
20190630320000C34,2019/06,合并,半年报,all,320000,C34
20190630420000I65,2019/06,合并,半年报,all,420000,I65
20200630310000G56,2020/06,合并,半年报,all,310000,G56
20190930410000C35,2019/09,合并,季报,all,410000,C35
20190930230000D44,2019/09,合并,季报,all,230000,D44
20200930500000N77,2020/09,合并,季报,all,500000,N77
20200630530000C27,2020/06,合并,半年报,all,530000,C27
20190930360000C40,2019/09,合并,季报,all,360000,C40
20190930330000C32,2019/09,合并,季报,all,330000,C32
20190930430000I63,2019/09,合并,季报,all,430000,I63
20200630430000F51,2020/06,合并,半年报,all,430000,F51
20200331530000C29,2020/03,合并,季报,all,530000,C29
20190331370000E48,2019/03,合并,季报,all,370000,E48
20190331310000J67,2019/03,合并,季报,all,310000,J67
20190331410000C36,2019/03,合并,季报,all,410000,C36
20200630650000I65,2020/06,合并,半年报,all,650000,I65
20191231510000C13,2019/12,合并,年报,all,510000,C13
20200331500000M74,2020/03,合并,季报,all,500000,M74
20200930110000C40,2020/09,合并,季报,all,110000,C40
20190930320000C39,2019/09,合并,季报,all,320000,C39
20190930420000J68,2019/09,合并,季报,all,420000,J68
20200630620000C41,2020/06,合并,半年报,all,620000,C41
20190630110000L72,2019/06,合并,半年报,all,110000,L72
20190630610000C23,2019/06,合并,半年报,all,610000,C23
20191231410000I65,2019/12,合并,年报,all,410000,I65
20191231310000C34,2019/12,合并,年报,all,310000,C34
20200630110000R87,2020/06,合并,半年报,all,110000,R87
20200930440000N78,2020/09,合并,季报,all,440000,N78
20190930500000E48,2019/09,合并,季报,all,500000,E48
20190331310000R90,2019/03,合并,季报,all,310000,R90
20190331310000S90,2019/03,合并,季报,all,310000,S90
20200630130000C26,2020/06,合并,半年报,all,130000,C26
20200331440000D46,2020/03,合并,季报,all,440000,D46
20191231350000K70,2019/12,合并,年报,all,350000,K70
20200331310000I65,2020/03,合并,季报,all,310000,I65
20200331410000C34,2020/03,合并,季报,all,410000,C34
20190630650000J67,2019/06,合并,半年报,all,650000,J67
20191231320000G54,2019/12,合并,年报,all,320000,G54
20200630640000G53,2020/06,合并,半年报,all,640000,G53
20200630440000E48,2020/06,合并,半年报,all,440000,E48
20190331350000C23,2019/03,合并,季报,all,350000,C23
20191231370000C26,2019/12,合并,年报,all,370000,C26
20200630110000K70,2020/06,合并,半年报,all,110000,K70
20200331210000C13,2020/03,合并,季报,all,210000,C13
20200331360000C41,2020/03,合并,季报,all,360000,C41
20190930310000C28,2019/09,合并,季报,all,310000,C28
20191231500000G54,2019/12,合并,年报,all,500000,G54
20190331350000F52,2019/03,合并,季报,all,350000,F52
20200331430000C13,2020/03,合并,季报,all,430000,C13
20191231320000C25,2019/12,合并,年报,all,320000,C25
20200930370000C38,2020/09,合并,季报,all,370000,C38
20190331370000A04,2019/03,合并,季报,all,370000,A04
20200331440000C37,2020/03,合并,季报,all,440000,C37
20190930130000I65,2019/09,合并,季报,all,130000,I65
20200331320000P83,2020/03,合并,季报,all,320000,P83
20200331320000Q83,2020/03,合并,季报,all,320000,Q83
20190630230000C38,2019/06,合并,半年报,all,230000,C38
20200630370000B08,2020/06,合并,半年报,all,370000,B08
20190930320000E48,2019/09,合并,季报,all,320000,E48
20200331370000B06,2020/03,合并,季报,all,370000,B06
20190331230000C36,2019/03,合并,季报,all,230000,C36
20190331440000C35,2019/03,合并,季报,all,440000,C35
20191231210000C33,2019/12,合并,年报,all,210000,C33
20190331530000J67,2019/03,合并,季报,all,530000,J67
20190630130000G55,2019/06,合并,半年报,all,130000,G55
20191231130000B08,2019/12,合并,年报,all,130000,B08
20190930150000N77,2019/09,合并,季报,all,150000,N77
20191231520000D45,2019/12,合并,年报,all,520000,D45
20190331500000C40,2019/03,合并,季报,all,500000,C40
20191231350000D46,2019/12,合并,年报,all,350000,D46
20200630540000B08,2020/06,合并,半年报,all,540000,B08
20190930330000C39,2019/09,合并,季报,all,330000,C39
20190331440000Q85,2019/03,合并,季报,all,440000,Q85
20190331440000R85,2019/03,合并,季报,all,440000,R85
20190930510000E48,2019/09,合并,季报,all,510000,E48
20200930350000C29,2020/09,合并,季报,all,350000,C29
20200930150000C32,2020/09,合并,季报,all,150000,C32
20190331320000C311,2019/03,合并,季报,all,320000,C31
20190331320000C31,2019/03,合并,季报,all,320000,C31
20200331110000E48,2020/03,合并,季报,all,110000,E48
